iter	Passed	Remaining
0	581	1742855
1	1057	1585110
2	1515	1513596
3	2042	1529972
4	3170	1899220
5	3692	1842710
6	4214	1801825
7	4402	1646349
8	4616	1534205
9	4828	1443640
10	5029	1366600
11	5390	1342343
12	5804	1333722
13	6093	1299696
14	6415	1276744
15	6600	1230921
16	6826	1197785
17	7019	1162975
18	7176	1126016
19	7346	1094668
20	7519	1066720
21	7741	1047904
22	8372	1083636
23	8620	1068939
24	8779	1044723
25	8945	1023264
26	9114	1003582
27	9286	985661
28	9513	974683
29	9766	966891
30	9938	951897
31	10122	938888
32	10298	925914
33	10521	917803
34	10713	907544
35	10891	896762
36	11076	887026
37	11255	877305
38	11462	870256
39	11959	885010
40	12304	888055
41	12709	895099
42	13163	905227
43	13372	898388
44	13793	905745
45	14531	933189
46	15404	967873
47	15840	974207
48	16132	971566
49	16414	968475
50	16673	964145
51	17142	971840
52	17693	983830
53	18175	991565
54	18597	995819
55	18970	997294
56	19438	1003627
57	19617	995069
58	19810	987501
59	20044	982195
60	20304	978299
61	20665	979280
62	21246	990486
63	21614	991545
64	22073	996725
65	22426	996978
66	22669	992363
67	22904	987605
68	23143	983107
69	23376	978490
70	23613	974144
71	23927	973033
72	24159	968703
73	24421	965650
74	25135	980280
75	25604	985099
76	25873	982168
77	26113	978241
78	26441	977663
79	26833	979439
80	27265	982584
81	27701	985755
82	28048	985744
83	28438	987228
84	28720	984931
85	29264	991584
86	29689	994093
87	30063	994841
88	30631	1001902
89	31227	1009691
90	32208	1029619
91	32684	1033104
92	33215	1038247
93	33532	1036668
94	33989	1039366
95	34305	1037751
96	34822	1042148
97	35206	1042538
98	35445	1038660
99	35672	1034488
100	35905	1030581
101	36385	1033774
102	36911	1038170
103	37312	1039019
104	37630	1037524
105	38092	1040002
106	38396	1038133
107	38700	1036304
108	38966	1033507
109	39328	1033265
110	39732	1034128
111	39973	1030754
112	40353	1030980
113	40656	1029248
114	40974	1027928
115	41432	1030097
116	41694	1027406
117	42086	1027903
118	42512	1029224
119	42864	1028747
120	43421	1033134
121	43824	1033820
122	44581	1042761
123	45033	1044479
124	45408	1044400
125	45962	1048378
126	46481	1051506
127	47160	1058152
128	47785	1063494
129	48298	1066278
130	48728	1067188
131	49188	1068727
132	49632	1069903
133	49880	1066836
134	50111	1063487
135	50423	1061854
136	50700	1059536
137	51017	1058054
138	51356	1057066
139	51707	1056307
140	51981	1054000
141	52694	1060571
142	53227	1063431
143	53539	1061862
144	53781	1058931
145	54021	1056015
146	54371	1055249
147	54630	1052740
148	54887	1050239
149	55278	1050283
150	55538	1047874
151	55775	1045063
152	56019	1042405
153	56278	1040056
154	56550	1037967
155	57070	1040433
156	57338	1038304
157	57636	1036729
158	58152	1039065
159	58319	1035172
160	58532	1032135
161	58892	1031715
162	59508	1035741
163	59859	1035127
164	60149	1033480
165	60591	1034427
166	60994	1034707
167	61331	1033869
168	61689	1033391
169	62264	1036519
170	62562	1035032
171	63007	1035961
172	63496	1037592
173	63943	1038535
174	64515	1041466
175	64996	1042906
176	65468	1044160
177	65796	1043135
178	66222	1043646
179	66651	1044200
180	67169	1046133
181	67605	1046770
182	67891	1045090
183	68320	1045600
184	68599	1043825
185	68983	1043652
186	69431	1044436
187	70697	1057456
188	71523	1063767
189	71726	1060795
190	71884	1057194
191	72034	1053498
192	72195	1050013
193	72357	1046572
194	72542	1043501
195	72733	1040529
196	72878	1036948
197	72988	1032902
198	73096	1028863
199	73196	1024745
200	73365	1021638
201	73512	1018260
202	73617	1014330
203	73736	1010624
204	73889	1007422
205	74198	1006359
206	74659	1007367
207	74934	1005854
208	75166	1003778
209	75384	1001533
210	75554	998677
211	75709	995651
212	75890	992995
213	76118	990956
214	76259	987822
215	76408	984818
216	76573	982040
217	76698	978784
218	76853	975931
219	77017	973223
220	77209	970889
221	77358	968030
222	77460	964608
223	77549	961061
224	77639	957553
225	77725	954027
226	77817	950603
227	77903	947145
228	77983	943639
229	78076	940316
230	78167	936997
231	78252	933631
232	78332	930236
233	78459	927426
234	78577	924538
235	78686	921562
236	78852	919282
237	79103	917995
238	79210	915066
239	79318	912161
240	79432	909353
241	79516	906228
242	79600	903126
243	79683	900030
244	79758	896871
245	79838	893806
246	79959	891205
247	80037	888160
248	80176	885804
249	80336	883705
250	80456	881175
251	80566	878557
252	80668	875874
253	80755	873053
254	80861	870455
255	80965	867844
256	81073	865307
257	81169	862658
258	81279	860185
259	81363	857443
260	81491	855192
261	81641	853188
262	81799	851278
263	81919	848980
264	82041	846734
265	82155	844411
266	82275	842167
267	82373	839720
268	82467	837240
269	82562	834795
270	82650	832298
271	82733	829764
272	82835	827445
273	82935	825119
274	83021	822670
275	83104	820201
276	83172	817616
277	83240	815040
278	83316	812558
279	83419	810356
280	83497	807936
281	83580	805574
282	83660	803199
283	83739	800836
284	83812	798425
285	83888	796063
286	83971	793778
287	84070	791663
288	84157	789453
289	84243	787241
290	84328	785035
291	84417	782889
292	84512	780801
293	84586	778542
294	84671	776396
295	84745	774158
296	84818	771937
297	84983	770556
298	85066	768441
299	85146	766317
300	85225	764196
301	85317	762205
302	85392	760078
303	85470	757990
304	85553	755958
305	85648	754046
306	85736	752078
307	85819	750081
308	85891	748002
309	85972	746016
310	86059	744092
311	86139	742127
312	86222	740194
313	86301	738232
314	86377	736262
315	86455	734327
316	86543	732478
317	86619	730548
318	86699	728655
319	86773	726729
320	86869	724997
321	86958	723213
322	87045	721427
323	87114	719504
324	87296	718520
325	87394	716853
326	87473	715035
327	87549	713206
328	87633	711459
329	87721	709746
330	87803	707995
331	87882	706236
332	87956	704440
333	88043	702765
334	88123	701046
335	88209	699375
336	88292	697696
337	88364	695935
338	88435	694182
339	88518	692527
340	88611	690958
341	88699	689367
342	88782	687740
343	88858	686073
344	88944	684482
345	89031	682920
346	89114	681327
347	89196	679738
348	89274	678126
349	89357	676563
350	89441	675016
351	89520	673440
352	89599	671868
353	89674	670281
354	89762	668794
355	89862	667408
356	89954	665962
357	90033	664437
358	90101	662833
359	90174	661279
360	90240	659684
361	90315	658152
362	90397	656689
363	90473	655189
364	90553	653720
365	90667	652507
366	90755	651116
367	90847	649756
368	90928	648330
369	91002	646852
370	91077	645400
371	91148	643921
372	91220	642455
373	91287	640965
374	91357	639505
375	91429	638057
376	91503	636644
377	91595	635352
378	91680	634020
379	91760	632666
380	91849	631375
381	91933	630057
382	92013	628722
383	92092	627381
384	92182	626120
385	92262	624806
386	92343	623497
387	92419	622161
388	92504	620899
389	92574	619538
390	92654	618248
391	92741	617016
392	92814	615690
393	92890	614398
394	92968	613122
395	93046	611848
396	93119	610552
397	93190	609248
398	93263	607966
399	93341	606716
400	93423	605502
401	93505	604294
402	93575	603013
403	93650	601771
404	93728	600556
405	93807	599353
406	93881	598117
407	93956	596899
408	94034	595703
409	94112	594513
410	94188	593316
411	94261	592106
412	94348	590989
413	94428	589833
414	94499	588630
415	94662	588001
416	94780	587094
417	94902	586215
418	95105	585841
419	95346	585701
420	95535	585239
421	95702	584649
422	95894	584209
423	96199	584459
424	96424	584218
425	96628	583853
426	96821	583424
427	97034	583111
428	97264	582905
429	97503	582751
430	97754	582668
431	98136	583365
432	98400	583358
433	98626	583121
434	98867	582978
435	99131	582968
436	99373	582825
