threshold,tp,fp,fn,fn_cost,fp_cost,total_cost,precision,recall,block_rate
0.01,60,178,11,2053.47,8900.0,10953.47,0.25210084033613445,0.8450704225352113,0.005592236659695951
0.02,59,100,12,2776.68,5000.0,7776.68,0.3710691823899371,0.8309859154929577,0.0037359900373599006
0.03,59,66,12,2776.68,3300.0,6076.68,0.472,0.8309859154929577,0.0029370990859747645
0.04,59,53,12,2776.68,2650.0,5426.68,0.5267857142857143,0.8309859154929577,0.0026316407810333888
0.05,59,45,12,2776.68,2250.0,5026.68,0.5673076923076923,0.8309859154929577,0.002443666439531004
0.06,59,37,12,2776.68,1850.0,4626.68,0.6145833333333334,0.8309859154929577,0.002255692098028619
0.07,59,35,12,2776.68,1750.0,4526.68,0.6276595744680851,0.8309859154929577,0.0022086985126530227
0.08,59,31,12,2776.68,1550.0,4326.68,0.6555555555555556,0.8309859154929577,0.0021147113419018302
0.09,59,31,12,2776.68,1550.0,4326.68,0.6555555555555556,0.8309859154929577,0.0021147113419018302
0.1,59,29,12,2776.68,1450.0,4226.68,0.6704545454545454,0.8309859154929577,0.002067717756526234
0.11,59,26,12,2776.68,1300.0,4076.68,0.6941176470588235,0.8309859154929577,0.00199722737846284
0.12,59,26,12,2776.68,1300.0,4076.68,0.6941176470588235,0.8309859154929577,0.00199722737846284
0.13,58,24,13,3227.95,1200.0,4427.95,0.7073170731707317,0.8169014084507042,0.0019267370003994454
0.14,58,22,13,3227.95,1100.0,4327.95,0.725,0.8169014084507042,0.0018797434150238492
0.15,58,22,13,3227.95,1100.0,4327.95,0.725,0.8169014084507042,0.0018797434150238492
0.16,58,22,13,3227.95,1100.0,4327.95,0.725,0.8169014084507042,0.0018797434150238492
0.17,58,21,13,3227.95,1050.0,4277.95,0.7341772151898734,0.8169014084507042,0.0018562466223360512
0.18,58,20,13,3227.95,1000.0,4227.95,0.7435897435897436,0.8169014084507042,0.001832749829648253
0.19,58,20,13,3227.95,1000.0,4227.95,0.7435897435897436,0.8169014084507042,0.001832749829648253
0.2,57,18,14,3235.01,900.0,4135.01,0.76,0.8028169014084507,0.0017622594515848587
0.21,57,17,14,3235.01,850.0,4085.01,0.7702702702702703,0.8028169014084507,0.0017387626588970606
0.22,57,16,14,3235.01,800.0,4035.01,0.7808219178082192,0.8028169014084507,0.0017152658662092624
0.23,57,16,14,3235.01,800.0,4035.01,0.7808219178082192,0.8028169014084507,0.0017152658662092624
0.24,57,15,14,3235.01,750.0,3985.01,0.7916666666666666,0.8028169014084507,0.0016917690735214644
0.25,57,15,14,3235.01,750.0,3985.01,0.7916666666666666,0.8028169014084507,0.0016917690735214644
0.26,57,15,14,3235.01,750.0,3985.01,0.7916666666666666,0.8028169014084507,0.0016917690735214644
0.27,57,14,14,3235.01,700.0,3935.01,0.8028169014084507,0.8028169014084507,0.0016682722808336662
0.28,57,13,14,3235.01,650.0,3885.01,0.8142857142857143,0.8028169014084507,0.0016447754881458681
0.29,57,12,14,3235.01,600.0,3835.01,0.8260869565217391,0.8028169014084507,0.00162127869545807
0.3,57,12,14,3235.01,600.0,3835.01,0.8260869565217391,0.8028169014084507,0.00162127869545807
0.31,57,12,14,3235.01,600.0,3835.01,0.8260869565217391,0.8028169014084507,0.00162127869545807
0.32,57,12,14,3235.01,600.0,3835.01,0.8260869565217391,0.8028169014084507,0.00162127869545807
0.33,57,12,14,3235.01,600.0,3835.01,0.8260869565217391,0.8028169014084507,0.00162127869545807
0.34,57,12,14,3235.01,600.0,3835.01,0.8260869565217391,0.8028169014084507,0.00162127869545807
0.35,57,11,14,3235.01,550.0,3785.01,0.8382352941176471,0.8028169014084507,0.0015977819027702719
0.36,57,11,14,3235.01,550.0,3785.01,0.8382352941176471,0.8028169014084507,0.0015977819027702719
0.37,57,10,14,3235.01,500.0,3735.01,0.8507462686567164,0.8028169014084507,0.0015742851100824737
0.38,57,9,14,3235.01,450.0,3685.01,0.8636363636363636,0.8028169014084507,0.0015507883173946756
