arm,family,train_frauds_after,train_rows_after,val_pr_auc,val_pr_auc_std,val_pr_auc_min,val_pr_auc_max,val_cost_at_0.5,val_precision_at_0.5,val_recall_at_0.5,val_fp_at_0.5,seconds,note,rank
scale_pos_weight,reweight,331,198608,0.847849446783378,0.0047765553465653485,0.8413046359699908,0.8525700614397762,832.2366666666667,0.9440325366532939,0.784037558685446,3.3333333333333335,19.8,SHIPPED recipe: one constant multiplier on every fraud,1
smote,resample,1983,200260,0.8455216352152998,0.0033548410561115845,0.8422750244986057,0.8501411176225449,890.5966666666667,0.9237915881983678,0.7887323943661971,4.666666666666667,21.4,"Chawla et al. interpolation, 6x frauds",2
borderline+amount,combo,1983,200260,0.8436896924783892,0.00845842244430561,0.8342375015028692,0.8547647587245654,796.1766666666666,0.9592623800881513,0.7699530516431925,2.3333333333333335,21.5,best resampler x cost-sensitive weights,3
random_oversample,resample,1983,200260,0.8415335567756524,0.005335184119458742,0.8343164048245024,0.8470476045217598,884.3299999999999,0.943502824858757,0.784037558685446,3.3333333333333335,19.9,"duplicate frauds - adds no information, the floor for SMOTE",4
smote_enn,resample,1971,200190,0.84129788236647,0.003921631772382766,0.8362225011528612,0.8457718510498051,884.25,0.9239824113400107,0.7934272300469484,4.666666666666667,88.6,SMOTE then clean the interleaved region,5
class_weight,reweight,331,198608,0.8410016490788484,0.004186993456086645,0.8376282712018345,0.8469027908378439,940.9033333333332,0.9274980483996877,0.7746478873239436,4.333333333333333,18.8,inverse frequency as per-row weights instead of spw,6
jitter,resample,1983,200260,0.8389230299835404,0.015512795544704278,0.823461578801344,0.8601325494347403,880.9666666666666,0.9244230952814879,0.7981220657276996,4.666666666666667,22.9,noise scaled to minority spread - can leave the fraud hull,7
smote_x30,resample,9914,208191,0.8361186568041398,0.002707707261442369,0.8327075299851667,0.8393310972123106,916.3299999999999,0.9142233190355876,0.7981220657276996,5.333333333333333,23.1,"same, 30x frauds - does more help?",8
focal_loss_g1,loss,331,198608,0.8353973010193111,0.003822223862716105,0.8300342524311622,0.8386639537317183,899.6566666666666,0.9522533184813886,0.7464788732394366,2.6666666666666665,71.1,"milder focusing, stronger class prior",9
focal_loss,loss,331,198608,0.835098198448085,0.002680363176177963,0.8317880853614025,0.8383529060938064,832.8766666666666,0.9810111272375422,0.727699530516432,1.0,72.1,Lin et al.: gradient concentrates on hard boundary rows,10
none,baseline,331,198608,0.8350727934052341,0.0006483944357392456,0.8342508723990322,0.8358358297682281,1672.1899999999998,0.9874169040835707,0.7370892018779344,0.6666666666666666,19.2,no imbalance handling at all - the floor everything must clear,11
smote+smoothing,combo,1983,200260,0.8338321886655485,0.0037469410241692536,0.8285406138496356,0.8367204168572042,780.6966666666666,1.0,0.7652582159624414,0.0,21.6,best resampler x soft targets,12
label_smoothing,targets,331,198608,0.8325650616699151,0.004653650834043634,0.8263438784358205,0.8375350506365511,1503.5766666666666,1.0,0.7136150234741784,0.0,18.9,spw + soft targets: undisputed fraud is labelled legitimate,13
borderline_smote,resample,1983,200260,0.8314493041710281,0.0010402020027876846,0.8299790535897523,0.8322268880426464,1494.5766666666666,0.9481962481962481,0.7605633802816901,3.0,22.2,synthesise only near the decision boundary,14
effective_number,reweight,331,198608,0.8251176100880538,0.006225936490138294,0.8186737286840727,0.8335357726971057,987.3533333333334,0.9702226947840983,0.755868544600939,1.6666666666666667,19.2,Cui et al. class-balanced: discounts redundancy among frauds,15
adasyn,resample,1983,200260,0.8192793788957596,0.005223402881249748,0.8152948811029318,0.826658532236656,929.5099999999999,0.9163656571269797,0.7699530516431925,5.0,25.0,density-adaptive synthesis,16
amount_weight,reweight,331,198608,0.785767815542631,0.008963636801905704,0.775639770557554,0.7974338987483036,1437.1933333333334,0.9723579147971245,0.6572769953051644,1.3333333333333333,18.1,COST-SENSITIVE: weight each row by the money it risks,17
