threshold,tp,fp,fn,fn_cost,fp_cost,total_cost,precision,recall,block_rate
0.01,1326,3288,83,5141.180006049573,164400.0,169541.18000604957,0.28738621586475943,0.9410929737402413,0.005750636259169984
0.02,1314,2689,95,6256.45999815315,134450.0,140706.45999815315,0.3282538096427679,0.9325762952448545,0.004989119407337981
0.03,1298,2278,111,7655.039995543659,113900.0,121555.03999554366,0.3629753914988814,0.9212207239176721,0.0044569300526206895
0.04,1286,2045,123,8627.799992077053,102250.0,110877.79999207705,0.3860702491744221,0.9127040454222853,0.00415157550483208
0.05,1283,1991,126,8639.589991919696,99550.0,108189.5899919197,0.39187538179596826,0.9105748757984387,0.00408053383453024
0.06,1276,1937,133,8985.579993061721,96850.0,105835.57999306172,0.3971366324307501,0.9056068133427964,0.0040045067838563415
0.07,1271,1875,138,9187.299994044006,93750.0,102937.299994044,0.40400508582326766,0.9020581973030518,0.003921001662624354
0.08,1268,1822,141,9434.549994044006,91100.0,100534.549994044,0.4103559870550162,0.8999290276792051,0.003851206337415529
0.09,1264,1764,145,9779.229992441833,88200.0,97979.22999244183,0.41743725231175693,0.8970901348474095,0.0037739329416486152
0.1,1256,1714,153,10910.899994663894,85700.0,96610.8999946639,0.4228956228956229,0.8914123491838183,0.003701644926253761
0.11,1252,1660,157,11293.429997853935,83000.0,94293.42999785393,0.42994505494505497,0.8885734563520227,0.0036293569108589063
0.12,1245,1603,164,13830.719950251281,80150.0,93980.71995025128,0.4371488764044944,0.8836053938963804,0.0035495908249059635
0.13,1239,1534,170,14206.739963583648,76700.0,90906.73996358365,0.44680851063829785,0.879347054648687,0.003456114942929858
0.14,1226,1468,183,15869.099993757904,73400.0,89269.0999937579,0.4550853749072012,0.8701206529453513,0.0033576536805816942
0.15,1211,1393,198,17789.529994539917,69650.0,87439.52999453992,0.4650537634408602,0.8594748048261178,0.003245482622210368
0.16,1200,1334,209,19046.999989561737,66700.0,85746.99998956174,0.47355958958168903,0.8516678495386799,0.0031582384656993366
0.17,1186,1254,223,20498.629981569946,62700.0,83198.62998156995,0.4860655737704918,0.8417317246273953,0.003041082026955952
0.18,1180,1186,229,21220.759976916015,59300.0,80520.75997691602,0.4987320371935757,0.837473385379702,0.0029488524900728613
0.19,1165,1093,244,23399.509981445968,54650.0,78049.50998144597,0.5159433126660762,0.8268275372604684,0.00281424722002727
0.2,1147,992,262,24642.419980712235,49600.0,74242.41998071223,0.5362318840579711,0.8140525195173882,0.0026659321539585167
0.21,1126,901,283,26859.270005054772,45050.0,71909.27000505477,0.5555007400098668,0.7991483321504613,0.002526341503540866
0.22,1101,783,308,29339.790010519326,39150.0,68489.79001051933,0.5843949044585988,0.7814052519517388,0.0023481141552397595
0.23,1071,643,338,32326.110026927665,32150.0,64476.110026927665,0.6248541423570595,0.7601135557132718,0.0021362354894272546
0.24,1057,586,352,33668.96003827639,29300.0,62968.96003827639,0.6433353621424224,0.7501774308019872,0.0020477449878232084
0.25,1054,581,355,34187.57003888674,29050.0,63237.57003888674,0.6446483180428134,0.7480482611781405,0.0020377742270790908
0.26,1053,576,356,34204.92003926821,28800.0,63004.92003926821,0.6464088397790055,0.7473385379701917,0.0020302961565210023
0.27,1050,574,359,34779.57003697939,28700.0,63479.57003697939,0.646551724137931,0.7452093683463449,0.0020240644310559287
0.28,1044,569,365,35394.32003602572,28450.0,63844.32003602572,0.6472411655300682,0.7409510290986515,0.0020103546350327666
0.29,1044,563,365,35394.32003602572,28150.0,63544.32003602572,0.6496577473553204,0.7409510290986515,0.002002876564474678
0.3,1041,559,368,35787.940036030486,27950.0,63737.940036030486,0.650625,0.7388218594748048,0.001994152148823575
