threshold,tp,fp,fn,fn_cost,fp_cost,total_cost,precision,recall,block_rate
0.01,59,45,12,3226.95,2250.0,5476.95,0.5673076923076923,0.8309859154929577,0.002443666439531004
0.02,59,33,12,3226.95,1650.0,4876.95,0.6413043478260869,0.8309859154929577,0.0021617049272774267
0.03,58,26,13,3230.7400000000002,1300.0,4530.74,0.6904761904761905,0.8169014084507042,0.0019737305857750417
0.04,58,22,13,3230.7400000000002,1100.0,4330.74,0.725,0.8169014084507042,0.0018797434150238492
0.05,58,20,13,3230.7400000000002,1000.0,4230.74,0.7435897435897436,0.8169014084507042,0.001832749829648253
0.06,57,20,14,3237.8,1000.0,4237.8,0.7402597402597403,0.8028169014084507,0.001809253036960455
0.07,57,19,14,3237.8,950.0,4187.8,0.75,0.8028169014084507,0.0017857562442726567
0.08,57,18,14,3237.8,900.0,4137.8,0.76,0.8028169014084507,0.0017622594515848587
0.09,57,16,14,3237.8,800.0,4037.8,0.7808219178082192,0.8028169014084507,0.0017152658662092624
0.1,57,16,14,3237.8,800.0,4037.8,0.7808219178082192,0.8028169014084507,0.0017152658662092624
0.11,57,15,14,3237.8,750.0,3987.8,0.7916666666666666,0.8028169014084507,0.0016917690735214644
0.12,57,15,14,3237.8,750.0,3987.8,0.7916666666666666,0.8028169014084507,0.0016917690735214644
0.13,57,14,14,3237.8,700.0,3937.8,0.8028169014084507,0.8028169014084507,0.0016682722808336662
0.14,57,14,14,3237.8,700.0,3937.8,0.8028169014084507,0.8028169014084507,0.0016682722808336662
0.15,57,14,14,3237.8,700.0,3937.8,0.8028169014084507,0.8028169014084507,0.0016682722808336662
0.16,57,14,14,3237.8,700.0,3937.8,0.8028169014084507,0.8028169014084507,0.0016682722808336662
0.17,57,14,14,3237.8,700.0,3937.8,0.8028169014084507,0.8028169014084507,0.0016682722808336662
0.18,57,14,14,3237.8,700.0,3937.8,0.8028169014084507,0.8028169014084507,0.0016682722808336662
0.19,57,14,14,3237.8,700.0,3937.8,0.8028169014084507,0.8028169014084507,0.0016682722808336662
0.2,57,14,14,3237.8,700.0,3937.8,0.8028169014084507,0.8028169014084507,0.0016682722808336662
0.21,57,13,14,3237.8,650.0,3887.8,0.8142857142857143,0.8028169014084507,0.0016447754881458681
0.22,57,12,14,3237.8,600.0,3837.8,0.8260869565217391,0.8028169014084507,0.00162127869545807
0.23,57,11,14,3237.8,550.0,3787.8,0.8382352941176471,0.8028169014084507,0.0015977819027702719
0.24,57,10,14,3237.8,500.0,3737.8,0.8507462686567164,0.8028169014084507,0.0015742851100824737
0.25,57,9,14,3237.8,450.0,3687.8,0.8636363636363636,0.8028169014084507,0.0015507883173946756
0.26,57,9,14,3237.8,450.0,3687.8,0.8636363636363636,0.8028169014084507,0.0015507883173946756
0.27,57,9,14,3237.8,450.0,3687.8,0.8636363636363636,0.8028169014084507,0.0015507883173946756
0.28,57,9,14,3237.8,450.0,3687.8,0.8636363636363636,0.8028169014084507,0.0015507883173946756
0.29,57,9,14,3237.8,450.0,3687.8,0.8636363636363636,0.8028169014084507,0.0015507883173946756
0.3,57,9,14,3237.8,450.0,3687.8,0.8636363636363636,0.8028169014084507,0.0015507883173946756
0.31,57,9,14,3237.8,450.0,3687.8,0.8636363636363636,0.8028169014084507,0.0015507883173946756
